alpha3     & Method     & ss-cost    & st-cost              & total cost            & max freq dev.        & max volt. dev.       
0.00        & lqr-opf    & 52816.62   & 2267.36              & 55083.98              & 0.0817                0.08                
0.00       & opf        & 51569.13   & 7200.43              & 58769.56              & 0.1400                0.11                
0.20        & lqr-opf    & 52815.96   & 2650.20              & 55466.16              & 0.0815                0.09                
0.20       & opf        & 51569.13   & 8623.85              & 60192.98              & 0.1396                0.11                
0.40        & lqr-opf    & 52814.71   & 3190.84              & 56005.55              & 0.0812                0.09                
0.40       & opf        & 51569.13   & 10762.17             & 62331.30              & 0.1390                0.11                
0.60        & lqr-opf    & 52814.07   & 4137.96              & 56952.02              & 0.0807                0.09                
0.60       & opf        & 51569.13   & 14362.07             & 65931.20              & 0.1382                0.12                
0.80        & lqr-opf    & 52814.20   & 6497.34              & 59311.54              & 0.0798                0.11                
0.80       & opf        & 51569.13   & 21880.31             & 73449.44              & 0.1367                0.13                
